manager,score,base_scoring,boost_scoring,win_loss_scoring,standout_scoring,standout_tally
CommishSchaffer,1043.4,593.4,400.0,50.0,0.0,0
JDWarren042,1042.04,592.04,400.0,50.0,0.0,0
mstika,1014.08,564.08,400.0,50.0,0.0,0
Gmkabler,1007.23,575.5,400.0,0.0,31.73,1
jwarren64,945.02,560.98,400.0,-50.0,34.04,1
BigJedd,937.12,487.12,400.0,50.0,0.0,0
Cashmoneycar,901.28,501.28,400.0,0.0,0.0,0
CoomCrusaders,884.3,484.3,400.0,0.0,0.0,0
chrisdubstevens,873.35,538.6,300.0,0.0,34.75,1
EliteE,843.7,493.7,400.0,-50.0,0.0,0
gkabler,737.73,455.02,300.0,-50.0,32.71,1
Glasseschandy,675.14,425.14,300.0,-50.0,0.0,0
