manager,score,base_scoring,boost_scoring,win_loss_scoring,standout_scoring,standout_tally
CommishSchaffer,1577.96,827.96,600.0,150.0,0.0,0
JDWarren042,1523.65,841.52,600.0,50.0,32.13,1
Gmkabler,1499.13,860.94,600.0,0.0,38.19,1
EliteE,1487.21,806.82,600.0,50.0,30.39,1
chrisdubstevens,1423.66,843.32,500.0,50.0,30.34,1
Glasseschandy,1302.34,765.42,500.0,0.0,36.92,1
jwarren64,1120.96,720.96,500.0,-100.0,0.0,0
BigJedd,1102.5,702.5,400.0,0.0,0.0,0
CoomCrusaders,1040.44,690.44,400.0,-50.0,0.0,0
Cashmoneycar,1020.36,684.64,300.0,0.0,35.72,1
gkabler,974.22,674.22,400.0,-100.0,0.0,0
mstika,927.18,677.18,300.0,-50.0,0.0,0
